policy_id,horizon_ms,minimum_dxy_move_bps,minimum_xag_move_bps,minimum_xau_move_bps,minimum_source_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H05000__DX050__AG500__AU500__QC05,5000,0.5,5.0,5.0,5,22,8,0.36363636363636365,8,0.36363636363636365,6,2,0.25,False
H05000__DX050__AG750__AU050__QC02,5000,0.5,7.5,0.5,2,22,13,0.5909090909090909,13,0.5909090909090909,9,4,0.3076923076923077,False
H05000__DX050__AG750__AU050__QC05,5000,0.5,7.5,0.5,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX050__AG750__AU100__QC02,5000,0.5,7.5,1.0,2,22,13,0.5909090909090909,13,0.5909090909090909,9,4,0.3076923076923077,False
H05000__DX050__AG750__AU100__QC05,5000,0.5,7.5,1.0,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX050__AG750__AU200__QC02,5000,0.5,7.5,2.0,2,22,12,0.5454545454545454,12,0.5454545454545454,8,4,0.3333333333333333,False
H05000__DX050__AG750__AU200__QC05,5000,0.5,7.5,2.0,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX050__AG750__AU300__QC02,5000,0.5,7.5,3.0,2,22,9,0.4090909090909091,9,0.4090909090909091,7,2,0.2222222222222222,False
H05000__DX050__AG750__AU300__QC05,5000,0.5,7.5,3.0,5,22,7,0.3181818181818182,7,0.3181818181818182,6,1,0.14285714285714285,False
H05000__DX050__AG750__AU500__QC02,5000,0.5,7.5,5.0,2,22,6,0.2727272727272727,6,0.2727272727272727,4,2,0.3333333333333333,False
H05000__DX050__AG750__AU500__QC05,5000,0.5,7.5,5.0,5,22,4,0.18181818181818182,4,0.18181818181818182,4,0,0.0,False
H05000__DX075__AG100__AU050__QC02,5000,0.75,1.0,0.5,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H05000__DX075__AG100__AU050__QC05,5000,0.75,1.0,0.5,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H05000__DX075__AG100__AU100__QC02,5000,0.75,1.0,1.0,2,22,22,1.0,22,1.0,5,17,0.22727272727272727,True
H05000__DX075__AG100__AU100__QC05,5000,0.75,1.0,1.0,5,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H05000__DX075__AG100__AU200__QC02,5000,0.75,1.0,2.0,2,22,21,0.9545454545454546,21,0.9545454545454546,6,15,0.2857142857142857,True
H05000__DX075__AG100__AU200__QC05,5000,0.75,1.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H05000__DX075__AG100__AU300__QC02,5000,0.75,1.0,3.0,2,22,19,0.8636363636363636,19,0.8636363636363636,6,13,0.3157894736842105,True
H05000__DX075__AG100__AU300__QC05,5000,0.75,1.0,3.0,5,22,14,0.6363636363636364,14,0.6363636363636364,6,8,0.42857142857142855,False
H05000__DX075__AG100__AU500__QC02,5000,0.75,1.0,5.0,2,22,9,0.4090909090909091,9,0.4090909090909091,6,3,0.3333333333333333,False
H05000__DX075__AG100__AU500__QC05,5000,0.75,1.0,5.0,5,22,9,0.4090909090909091,9,0.4090909090909091,7,2,0.2222222222222222,False
H05000__DX075__AG200__AU050__QC02,5000,0.75,2.0,0.5,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H05000__DX075__AG200__AU050__QC05,5000,0.75,2.0,0.5,5,22,21,0.9545454545454546,21,0.9545454545454546,6,15,0.2857142857142857,True
H05000__DX075__AG200__AU100__QC02,5000,0.75,2.0,1.0,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H05000__DX075__AG200__AU100__QC05,5000,0.75,2.0,1.0,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H05000__DX075__AG200__AU200__QC02,5000,0.75,2.0,2.0,2,22,21,0.9545454545454546,21,0.9545454545454546,6,15,0.2857142857142857,True
H05000__DX075__AG200__AU200__QC05,5000,0.75,2.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
H05000__DX075__AG200__AU300__QC02,5000,0.75,2.0,3.0,2,22,19,0.8636363636363636,19,0.8636363636363636,6,13,0.3157894736842105,True
H05000__DX075__AG200__AU300__QC05,5000,0.75,2.0,3.0,5,22,14,0.6363636363636364,14,0.6363636363636364,6,8,0.42857142857142855,False
H05000__DX075__AG200__AU500__QC02,5000,0.75,2.0,5.0,2,22,9,0.4090909090909091,9,0.4090909090909091,6,3,0.3333333333333333,False
H05000__DX075__AG200__AU500__QC05,5000,0.75,2.0,5.0,5,22,8,0.36363636363636365,8,0.36363636363636365,6,2,0.25,False
H05000__DX075__AG300__AU050__QC02,5000,0.75,3.0,0.5,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H05000__DX075__AG300__AU050__QC05,5000,0.75,3.0,0.5,5,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
H05000__DX075__AG300__AU100__QC02,5000,0.75,3.0,1.0,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H05000__DX075__AG300__AU100__QC05,5000,0.75,3.0,1.0,5,22,21,0.9545454545454546,21,0.9545454545454546,6,15,0.2857142857142857,True
H05000__DX075__AG300__AU200__QC02,5000,0.75,3.0,2.0,2,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H05000__DX075__AG300__AU200__QC05,5000,0.75,3.0,2.0,5,22,20,0.9090909090909091,20,0.9090909090909091,8,12,0.4,True
H05000__DX075__AG300__AU300__QC02,5000,0.75,3.0,3.0,2,22,19,0.8636363636363636,19,0.8636363636363636,7,12,0.3684210526315789,True
H05000__DX075__AG300__AU300__QC05,5000,0.75,3.0,3.0,5,22,13,0.5909090909090909,13,0.5909090909090909,5,8,0.38461538461538464,False
H05000__DX075__AG300__AU500__QC02,5000,0.75,3.0,5.0,2,22,9,0.4090909090909091,9,0.4090909090909091,6,3,0.3333333333333333,False
H05000__DX075__AG300__AU500__QC05,5000,0.75,3.0,5.0,5,22,8,0.36363636363636365,8,0.36363636363636365,6,2,0.25,False
H05000__DX075__AG500__AU050__QC02,5000,0.75,5.0,0.5,2,22,20,0.9090909090909091,20,0.9090909090909091,11,9,0.45,True
H05000__DX075__AG500__AU050__QC05,5000,0.75,5.0,0.5,5,22,19,0.8636363636363636,19,0.8636363636363636,12,7,0.3684210526315789,True
H05000__DX075__AG500__AU100__QC02,5000,0.75,5.0,1.0,2,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H05000__DX075__AG500__AU100__QC05,5000,0.75,5.0,1.0,5,22,19,0.8636363636363636,19,0.8636363636363636,12,7,0.3684210526315789,True
H05000__DX075__AG500__AU200__QC02,5000,0.75,5.0,2.0,2,22,18,0.8181818181818182,18,0.8181818181818182,10,8,0.4444444444444444,True
H05000__DX075__AG500__AU200__QC05,5000,0.75,5.0,2.0,5,22,16,0.7272727272727273,16,0.7272727272727273,10,6,0.375,True
H05000__DX075__AG500__AU300__QC02,5000,0.75,5.0,3.0,2,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H05000__DX075__AG500__AU300__QC05,5000,0.75,5.0,3.0,5,22,10,0.45454545454545453,10,0.45454545454545453,5,5,0.5,False
H05000__DX075__AG500__AU500__QC02,5000,0.75,5.0,5.0,2,22,8,0.36363636363636365,8,0.36363636363636365,6,2,0.25,False
H05000__DX075__AG500__AU500__QC05,5000,0.75,5.0,5.0,5,22,7,0.3181818181818182,7,0.3181818181818182,6,1,0.14285714285714285,False
H05000__DX075__AG750__AU050__QC02,5000,0.75,7.5,0.5,2,22,12,0.5454545454545454,12,0.5454545454545454,8,4,0.3333333333333333,False
H05000__DX075__AG750__AU050__QC05,5000,0.75,7.5,0.5,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX075__AG750__AU100__QC02,5000,0.75,7.5,1.0,2,22,12,0.5454545454545454,12,0.5454545454545454,8,4,0.3333333333333333,False
H05000__DX075__AG750__AU100__QC05,5000,0.75,7.5,1.0,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX075__AG750__AU200__QC02,5000,0.75,7.5,2.0,2,22,10,0.45454545454545453,10,0.45454545454545453,6,4,0.4,False
H05000__DX075__AG750__AU200__QC05,5000,0.75,7.5,2.0,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX075__AG750__AU300__QC02,5000,0.75,7.5,3.0,2,22,8,0.36363636363636365,8,0.36363636363636365,6,2,0.25,False
H05000__DX075__AG750__AU300__QC05,5000,0.75,7.5,3.0,5,22,7,0.3181818181818182,7,0.3181818181818182,5,2,0.2857142857142857,False
H05000__DX075__AG750__AU500__QC02,5000,0.75,7.5,5.0,2,22,5,0.22727272727272727,5,0.22727272727272727,4,1,0.2,False
H05000__DX075__AG750__AU500__QC05,5000,0.75,7.5,5.0,5,22,4,0.18181818181818182,4,0.18181818181818182,4,0,0.0,False
H10000__DX010__AG100__AU050__QC02,10000,0.1,1.0,0.5,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX010__AG100__AU050__QC05,10000,0.1,1.0,0.5,5,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX010__AG100__AU100__QC02,10000,0.1,1.0,1.0,2,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG100__AU100__QC05,10000,0.1,1.0,1.0,5,22,22,1.0,22,1.0,15,7,0.3181818181818182,True
H10000__DX010__AG100__AU200__QC02,10000,0.1,1.0,2.0,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H10000__DX010__AG100__AU200__QC05,10000,0.1,1.0,2.0,5,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX010__AG100__AU300__QC02,10000,0.1,1.0,3.0,2,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX010__AG100__AU300__QC05,10000,0.1,1.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX010__AG100__AU500__QC02,10000,0.1,1.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX010__AG100__AU500__QC05,10000,0.1,1.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX010__AG200__AU050__QC02,10000,0.1,2.0,0.5,2,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX010__AG200__AU050__QC05,10000,0.1,2.0,0.5,5,22,22,1.0,22,1.0,16,6,0.2727272727272727,True
H10000__DX010__AG200__AU100__QC02,10000,0.1,2.0,1.0,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX010__AG200__AU100__QC05,10000,0.1,2.0,1.0,5,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX010__AG200__AU200__QC02,10000,0.1,2.0,2.0,2,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
H10000__DX010__AG200__AU200__QC05,10000,0.1,2.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H10000__DX010__AG200__AU300__QC02,10000,0.1,2.0,3.0,2,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX010__AG200__AU300__QC05,10000,0.1,2.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX010__AG200__AU500__QC02,10000,0.1,2.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX010__AG200__AU500__QC05,10000,0.1,2.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX010__AG300__AU050__QC02,10000,0.1,3.0,0.5,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX010__AG300__AU050__QC05,10000,0.1,3.0,0.5,5,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX010__AG300__AU100__QC02,10000,0.1,3.0,1.0,2,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX010__AG300__AU100__QC05,10000,0.1,3.0,1.0,5,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX010__AG300__AU200__QC02,10000,0.1,3.0,2.0,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX010__AG300__AU200__QC05,10000,0.1,3.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H10000__DX010__AG300__AU300__QC02,10000,0.1,3.0,3.0,2,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX010__AG300__AU300__QC05,10000,0.1,3.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H10000__DX010__AG300__AU500__QC02,10000,0.1,3.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX010__AG300__AU500__QC05,10000,0.1,3.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX010__AG500__AU050__QC02,10000,0.1,5.0,0.5,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX010__AG500__AU050__QC05,10000,0.1,5.0,0.5,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX010__AG500__AU100__QC02,10000,0.1,5.0,1.0,2,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
H10000__DX010__AG500__AU100__QC05,10000,0.1,5.0,1.0,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX010__AG500__AU200__QC02,10000,0.1,5.0,2.0,2,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX010__AG500__AU200__QC05,10000,0.1,5.0,2.0,5,22,20,0.9090909090909091,20,0.9090909090909091,12,8,0.4,True
H10000__DX010__AG500__AU300__QC02,10000,0.1,5.0,3.0,2,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H10000__DX010__AG500__AU300__QC05,10000,0.1,5.0,3.0,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX010__AG500__AU500__QC02,10000,0.1,5.0,5.0,2,22,14,0.6363636363636364,14,0.6363636363636364,6,8,0.42857142857142855,False
H10000__DX010__AG500__AU500__QC05,10000,0.1,5.0,5.0,5,22,12,0.5454545454545454,12,0.5454545454545454,6,6,0.5,False
H10000__DX010__AG750__AU050__QC02,10000,0.1,7.5,0.5,2,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX010__AG750__AU050__QC05,10000,0.1,7.5,0.5,5,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX010__AG750__AU100__QC02,10000,0.1,7.5,1.0,2,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX010__AG750__AU100__QC05,10000,0.1,7.5,1.0,5,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX010__AG750__AU200__QC02,10000,0.1,7.5,2.0,2,22,16,0.7272727272727273,16,0.7272727272727273,10,6,0.375,True
H10000__DX010__AG750__AU200__QC05,10000,0.1,7.5,2.0,5,22,15,0.6818181818181818,15,0.6818181818181818,10,5,0.3333333333333333,True
H10000__DX010__AG750__AU300__QC02,10000,0.1,7.5,3.0,2,22,14,0.6363636363636364,14,0.6363636363636364,8,6,0.42857142857142855,False
H10000__DX010__AG750__AU300__QC05,10000,0.1,7.5,3.0,5,22,13,0.5909090909090909,13,0.5909090909090909,8,5,0.38461538461538464,False
H10000__DX010__AG750__AU500__QC02,10000,0.1,7.5,5.0,2,22,12,0.5454545454545454,12,0.5454545454545454,6,6,0.5,False
H10000__DX010__AG750__AU500__QC05,10000,0.1,7.5,5.0,5,22,11,0.5,11,0.5,6,5,0.45454545454545453,False
H10000__DX020__AG100__AU050__QC02,10000,0.2,1.0,0.5,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX020__AG100__AU050__QC05,10000,0.2,1.0,0.5,5,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX020__AG100__AU100__QC02,10000,0.2,1.0,1.0,2,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG100__AU100__QC05,10000,0.2,1.0,1.0,5,22,22,1.0,22,1.0,15,7,0.3181818181818182,True
H10000__DX020__AG100__AU200__QC02,10000,0.2,1.0,2.0,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H10000__DX020__AG100__AU200__QC05,10000,0.2,1.0,2.0,5,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX020__AG100__AU300__QC02,10000,0.2,1.0,3.0,2,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX020__AG100__AU300__QC05,10000,0.2,1.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX020__AG100__AU500__QC02,10000,0.2,1.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX020__AG100__AU500__QC05,10000,0.2,1.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX020__AG200__AU050__QC02,10000,0.2,2.0,0.5,2,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX020__AG200__AU050__QC05,10000,0.2,2.0,0.5,5,22,22,1.0,22,1.0,16,6,0.2727272727272727,True
H10000__DX020__AG200__AU100__QC02,10000,0.2,2.0,1.0,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX020__AG200__AU100__QC05,10000,0.2,2.0,1.0,5,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX020__AG200__AU200__QC02,10000,0.2,2.0,2.0,2,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
H10000__DX020__AG200__AU200__QC05,10000,0.2,2.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H10000__DX020__AG200__AU300__QC02,10000,0.2,2.0,3.0,2,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX020__AG200__AU300__QC05,10000,0.2,2.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX020__AG200__AU500__QC02,10000,0.2,2.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX020__AG200__AU500__QC05,10000,0.2,2.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX020__AG300__AU050__QC02,10000,0.2,3.0,0.5,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX020__AG300__AU050__QC05,10000,0.2,3.0,0.5,5,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX020__AG300__AU100__QC02,10000,0.2,3.0,1.0,2,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX020__AG300__AU100__QC05,10000,0.2,3.0,1.0,5,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX020__AG300__AU200__QC02,10000,0.2,3.0,2.0,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX020__AG300__AU200__QC05,10000,0.2,3.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H10000__DX020__AG300__AU300__QC02,10000,0.2,3.0,3.0,2,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX020__AG300__AU300__QC05,10000,0.2,3.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H10000__DX020__AG300__AU500__QC02,10000,0.2,3.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX020__AG300__AU500__QC05,10000,0.2,3.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX020__AG500__AU050__QC02,10000,0.2,5.0,0.5,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX020__AG500__AU050__QC05,10000,0.2,5.0,0.5,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX020__AG500__AU100__QC02,10000,0.2,5.0,1.0,2,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
H10000__DX020__AG500__AU100__QC05,10000,0.2,5.0,1.0,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX020__AG500__AU200__QC02,10000,0.2,5.0,2.0,2,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX020__AG500__AU200__QC05,10000,0.2,5.0,2.0,5,22,20,0.9090909090909091,20,0.9090909090909091,12,8,0.4,True
H10000__DX020__AG500__AU300__QC02,10000,0.2,5.0,3.0,2,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H10000__DX020__AG500__AU300__QC05,10000,0.2,5.0,3.0,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX020__AG500__AU500__QC02,10000,0.2,5.0,5.0,2,22,14,0.6363636363636364,14,0.6363636363636364,6,8,0.42857142857142855,False
H10000__DX020__AG500__AU500__QC05,10000,0.2,5.0,5.0,5,22,12,0.5454545454545454,12,0.5454545454545454,6,6,0.5,False
H10000__DX020__AG750__AU050__QC02,10000,0.2,7.5,0.5,2,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX020__AG750__AU050__QC05,10000,0.2,7.5,0.5,5,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX020__AG750__AU100__QC02,10000,0.2,7.5,1.0,2,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX020__AG750__AU100__QC05,10000,0.2,7.5,1.0,5,22,16,0.7272727272727273,16,0.7272727272727273,8,8,0.5,True
H10000__DX020__AG750__AU200__QC02,10000,0.2,7.5,2.0,2,22,16,0.7272727272727273,16,0.7272727272727273,10,6,0.375,True
H10000__DX020__AG750__AU200__QC05,10000,0.2,7.5,2.0,5,22,15,0.6818181818181818,15,0.6818181818181818,10,5,0.3333333333333333,True
H10000__DX020__AG750__AU300__QC02,10000,0.2,7.5,3.0,2,22,14,0.6363636363636364,14,0.6363636363636364,8,6,0.42857142857142855,False
H10000__DX020__AG750__AU300__QC05,10000,0.2,7.5,3.0,5,22,13,0.5909090909090909,13,0.5909090909090909,8,5,0.38461538461538464,False
H10000__DX020__AG750__AU500__QC02,10000,0.2,7.5,5.0,2,22,12,0.5454545454545454,12,0.5454545454545454,6,6,0.5,False
H10000__DX020__AG750__AU500__QC05,10000,0.2,7.5,5.0,5,22,11,0.5,11,0.5,6,5,0.45454545454545453,False
H10000__DX030__AG100__AU050__QC02,10000,0.3,1.0,0.5,2,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX030__AG100__AU050__QC05,10000,0.3,1.0,0.5,5,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX030__AG100__AU100__QC02,10000,0.3,1.0,1.0,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX030__AG100__AU100__QC05,10000,0.3,1.0,1.0,5,22,22,1.0,22,1.0,16,6,0.2727272727272727,True
H10000__DX030__AG100__AU200__QC02,10000,0.3,1.0,2.0,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H10000__DX030__AG100__AU200__QC05,10000,0.3,1.0,2.0,5,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX030__AG100__AU300__QC02,10000,0.3,1.0,3.0,2,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG100__AU300__QC05,10000,0.3,1.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
H10000__DX030__AG100__AU500__QC02,10000,0.3,1.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX030__AG100__AU500__QC05,10000,0.3,1.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX030__AG200__AU050__QC02,10000,0.3,2.0,0.5,2,22,22,1.0,22,1.0,14,8,0.36363636363636365,True
H10000__DX030__AG200__AU050__QC05,10000,0.3,2.0,0.5,5,22,22,1.0,22,1.0,15,7,0.3181818181818182,True
H10000__DX030__AG200__AU100__QC02,10000,0.3,2.0,1.0,2,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX030__AG200__AU100__QC05,10000,0.3,2.0,1.0,5,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX030__AG200__AU200__QC02,10000,0.3,2.0,2.0,2,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
H10000__DX030__AG200__AU200__QC05,10000,0.3,2.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H10000__DX030__AG200__AU300__QC02,10000,0.3,2.0,3.0,2,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG200__AU300__QC05,10000,0.3,2.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
H10000__DX030__AG200__AU500__QC02,10000,0.3,2.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX030__AG200__AU500__QC05,10000,0.3,2.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX030__AG300__AU050__QC02,10000,0.3,3.0,0.5,2,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX030__AG300__AU050__QC05,10000,0.3,3.0,0.5,5,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX030__AG300__AU100__QC02,10000,0.3,3.0,1.0,2,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX030__AG300__AU100__QC05,10000,0.3,3.0,1.0,5,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX030__AG300__AU200__QC02,10000,0.3,3.0,2.0,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX030__AG300__AU200__QC05,10000,0.3,3.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H10000__DX030__AG300__AU300__QC02,10000,0.3,3.0,3.0,2,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX030__AG300__AU300__QC05,10000,0.3,3.0,3.0,5,22,21,0.9545454545454546,21,0.9545454545454546,13,8,0.38095238095238093,True
H10000__DX030__AG300__AU500__QC02,10000,0.3,3.0,5.0,2,22,15,0.6818181818181818,15,0.6818181818181818,6,9,0.4,True
H10000__DX030__AG300__AU500__QC05,10000,0.3,3.0,5.0,5,22,14,0.6363636363636364,14,0.6363636363636364,7,7,0.5,False
H10000__DX030__AG500__AU050__QC02,10000,0.3,5.0,0.5,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX030__AG500__AU050__QC05,10000,0.3,5.0,0.5,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX030__AG500__AU100__QC02,10000,0.3,5.0,1.0,2,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
H10000__DX030__AG500__AU100__QC05,10000,0.3,5.0,1.0,5,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX030__AG500__AU200__QC02,10000,0.3,5.0,2.0,2,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
