instrument,record_type,bar_start_utc,exclusion_reason,candidate_alignment,comparable_bars,exact_bid_ohlc_bars,exact_rate,selected,passed
USDJPY,EXCLUDED_BAR,2025-06-11T06:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T06:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T07:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T08:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T09:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T10:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T11:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T12:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T13:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T14:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T15:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T16:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T17:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T18:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T19:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T20:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
USDJPY,EXCLUDED_BAR,2025-06-11T21:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
