policy_id,horizon_ms,minimum_leg_move_bps,minimum_breadth_sum_bps,minimum_signed_xau_response_ratio,minimum_source_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H01000__LM025__BS075__RR050__QC05,1000,0.25,0.75,0.5,5,44,42,0.9545454545454546,42,0.9545454545454546,23,19,0.4523809523809524,True
H01000__LM025__BS075__RR075__QC02,1000,0.25,0.75,0.75,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM025__BS075__RR075__QC05,1000,0.25,0.75,0.75,5,44,41,0.9318181818181818,41,0.9318181818181818,21,20,0.4878048780487805,True
H01000__LM025__BS075__RR100__QC02,1000,0.25,0.75,1.0,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM025__BS075__RR100__QC05,1000,0.25,0.75,1.0,5,44,41,0.9318181818181818,41,0.9318181818181818,22,19,0.4634146341463415,True
H01000__LM025__BS075__RR150__QC02,1000,0.25,0.75,1.5,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM025__BS075__RR150__QC05,1000,0.25,0.75,1.5,5,44,40,0.9090909090909091,40,0.9090909090909091,19,21,0.475,True
H02000__LM005__BS015__RR050__QC02,2000,0.05,0.15,0.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS015__RR050__QC05,2000,0.05,0.15,0.5,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS015__RR075__QC02,2000,0.05,0.15,0.75,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM005__BS015__RR075__QC05,2000,0.05,0.15,0.75,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS015__RR100__QC02,2000,0.05,0.15,1.0,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM005__BS015__RR100__QC05,2000,0.05,0.15,1.0,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS015__RR150__QC02,2000,0.05,0.15,1.5,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM005__BS015__RR150__QC05,2000,0.05,0.15,1.5,5,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM005__BS030__RR050__QC02,2000,0.05,0.3,0.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS030__RR050__QC05,2000,0.05,0.3,0.5,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS030__RR075__QC02,2000,0.05,0.3,0.75,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM005__BS030__RR075__QC05,2000,0.05,0.3,0.75,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS030__RR100__QC02,2000,0.05,0.3,1.0,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM005__BS030__RR100__QC05,2000,0.05,0.3,1.0,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS030__RR150__QC02,2000,0.05,0.3,1.5,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM005__BS030__RR150__QC05,2000,0.05,0.3,1.5,5,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM005__BS045__RR050__QC02,2000,0.05,0.45,0.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS045__RR050__QC05,2000,0.05,0.45,0.5,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS045__RR075__QC02,2000,0.05,0.45,0.75,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS045__RR075__QC05,2000,0.05,0.45,0.75,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS045__RR100__QC02,2000,0.05,0.45,1.0,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS045__RR100__QC05,2000,0.05,0.45,1.0,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS045__RR150__QC02,2000,0.05,0.45,1.5,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM005__BS045__RR150__QC05,2000,0.05,0.45,1.5,5,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM005__BS060__RR050__QC02,2000,0.05,0.6,0.5,2,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS060__RR050__QC05,2000,0.05,0.6,0.5,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS060__RR075__QC02,2000,0.05,0.6,0.75,2,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS060__RR075__QC05,2000,0.05,0.6,0.75,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS060__RR100__QC02,2000,0.05,0.6,1.0,2,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS060__RR100__QC05,2000,0.05,0.6,1.0,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS060__RR150__QC02,2000,0.05,0.6,1.5,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM005__BS060__RR150__QC05,2000,0.05,0.6,1.5,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS075__RR050__QC02,2000,0.05,0.75,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM005__BS075__RR050__QC05,2000,0.05,0.75,0.5,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM005__BS075__RR075__QC02,2000,0.05,0.75,0.75,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM005__BS075__RR075__QC05,2000,0.05,0.75,0.75,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS075__RR100__QC02,2000,0.05,0.75,1.0,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM005__BS075__RR100__QC05,2000,0.05,0.75,1.0,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM005__BS075__RR150__QC02,2000,0.05,0.75,1.5,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM005__BS075__RR150__QC05,2000,0.05,0.75,1.5,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM010__BS015__RR050__QC02,2000,0.1,0.15,0.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS015__RR050__QC05,2000,0.1,0.15,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS015__RR075__QC02,2000,0.1,0.15,0.75,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS015__RR075__QC05,2000,0.1,0.15,0.75,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS015__RR100__QC02,2000,0.1,0.15,1.0,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS015__RR100__QC05,2000,0.1,0.15,1.0,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS015__RR150__QC02,2000,0.1,0.15,1.5,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM010__BS015__RR150__QC05,2000,0.1,0.15,1.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS030__RR050__QC02,2000,0.1,0.3,0.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS030__RR050__QC05,2000,0.1,0.3,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS030__RR075__QC02,2000,0.1,0.3,0.75,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS030__RR075__QC05,2000,0.1,0.3,0.75,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS030__RR100__QC02,2000,0.1,0.3,1.0,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS030__RR100__QC05,2000,0.1,0.3,1.0,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS030__RR150__QC02,2000,0.1,0.3,1.5,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM010__BS030__RR150__QC05,2000,0.1,0.3,1.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS045__RR050__QC02,2000,0.1,0.45,0.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS045__RR050__QC05,2000,0.1,0.45,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS045__RR075__QC02,2000,0.1,0.45,0.75,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS045__RR075__QC05,2000,0.1,0.45,0.75,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS045__RR100__QC02,2000,0.1,0.45,1.0,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS045__RR100__QC05,2000,0.1,0.45,1.0,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS045__RR150__QC02,2000,0.1,0.45,1.5,2,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS045__RR150__QC05,2000,0.1,0.45,1.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS060__RR050__QC02,2000,0.1,0.6,0.5,2,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM010__BS060__RR050__QC05,2000,0.1,0.6,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS060__RR075__QC02,2000,0.1,0.6,0.75,2,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM010__BS060__RR075__QC05,2000,0.1,0.6,0.75,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS060__RR100__QC02,2000,0.1,0.6,1.0,2,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H02000__LM010__BS060__RR100__QC05,2000,0.1,0.6,1.0,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS060__RR150__QC02,2000,0.1,0.6,1.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS060__RR150__QC05,2000,0.1,0.6,1.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS075__RR050__QC02,2000,0.1,0.75,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM010__BS075__RR050__QC05,2000,0.1,0.75,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS075__RR075__QC02,2000,0.1,0.75,0.75,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM010__BS075__RR075__QC05,2000,0.1,0.75,0.75,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS075__RR100__QC02,2000,0.1,0.75,1.0,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM010__BS075__RR100__QC05,2000,0.1,0.75,1.0,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM010__BS075__RR150__QC02,2000,0.1,0.75,1.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM010__BS075__RR150__QC05,2000,0.1,0.75,1.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM015__BS015__RR050__QC02,2000,0.15,0.15,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS015__RR050__QC05,2000,0.15,0.15,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM015__BS015__RR075__QC02,2000,0.15,0.15,0.75,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS015__RR075__QC05,2000,0.15,0.15,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS015__RR100__QC02,2000,0.15,0.15,1.0,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS015__RR100__QC05,2000,0.15,0.15,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM015__BS015__RR150__QC02,2000,0.15,0.15,1.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM015__BS015__RR150__QC05,2000,0.15,0.15,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS030__RR050__QC02,2000,0.15,0.3,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS030__RR050__QC05,2000,0.15,0.3,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM015__BS030__RR075__QC02,2000,0.15,0.3,0.75,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS030__RR075__QC05,2000,0.15,0.3,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS030__RR100__QC02,2000,0.15,0.3,1.0,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS030__RR100__QC05,2000,0.15,0.3,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM015__BS030__RR150__QC02,2000,0.15,0.3,1.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM015__BS030__RR150__QC05,2000,0.15,0.3,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS045__RR050__QC02,2000,0.15,0.45,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS045__RR050__QC05,2000,0.15,0.45,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM015__BS045__RR075__QC02,2000,0.15,0.45,0.75,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS045__RR075__QC05,2000,0.15,0.45,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS045__RR100__QC02,2000,0.15,0.45,1.0,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS045__RR100__QC05,2000,0.15,0.45,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM015__BS045__RR150__QC02,2000,0.15,0.45,1.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM015__BS045__RR150__QC05,2000,0.15,0.45,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS060__RR050__QC02,2000,0.15,0.6,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS060__RR050__QC05,2000,0.15,0.6,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM015__BS060__RR075__QC02,2000,0.15,0.6,0.75,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS060__RR075__QC05,2000,0.15,0.6,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS060__RR100__QC02,2000,0.15,0.6,1.0,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS060__RR100__QC05,2000,0.15,0.6,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM015__BS060__RR150__QC02,2000,0.15,0.6,1.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM015__BS060__RR150__QC05,2000,0.15,0.6,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS075__RR050__QC02,2000,0.15,0.75,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS075__RR050__QC05,2000,0.15,0.75,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM015__BS075__RR075__QC02,2000,0.15,0.75,0.75,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS075__RR075__QC05,2000,0.15,0.75,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM015__BS075__RR100__QC02,2000,0.15,0.75,1.0,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM015__BS075__RR100__QC05,2000,0.15,0.75,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM015__BS075__RR150__QC02,2000,0.15,0.75,1.5,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM015__BS075__RR150__QC05,2000,0.15,0.75,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM020__BS015__RR050__QC02,2000,0.2,0.15,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS015__RR050__QC05,2000,0.2,0.15,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM020__BS015__RR075__QC02,2000,0.2,0.15,0.75,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS015__RR075__QC05,2000,0.2,0.15,0.75,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS015__RR100__QC02,2000,0.2,0.15,1.0,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS015__RR100__QC05,2000,0.2,0.15,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS015__RR150__QC02,2000,0.2,0.15,1.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS015__RR150__QC05,2000,0.2,0.15,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM020__BS030__RR050__QC02,2000,0.2,0.3,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS030__RR050__QC05,2000,0.2,0.3,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM020__BS030__RR075__QC02,2000,0.2,0.3,0.75,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS030__RR075__QC05,2000,0.2,0.3,0.75,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS030__RR100__QC02,2000,0.2,0.3,1.0,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS030__RR100__QC05,2000,0.2,0.3,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS030__RR150__QC02,2000,0.2,0.3,1.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS030__RR150__QC05,2000,0.2,0.3,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM020__BS045__RR050__QC02,2000,0.2,0.45,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS045__RR050__QC05,2000,0.2,0.45,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM020__BS045__RR075__QC02,2000,0.2,0.45,0.75,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS045__RR075__QC05,2000,0.2,0.45,0.75,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS045__RR100__QC02,2000,0.2,0.45,1.0,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS045__RR100__QC05,2000,0.2,0.45,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS045__RR150__QC02,2000,0.2,0.45,1.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS045__RR150__QC05,2000,0.2,0.45,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM020__BS060__RR050__QC02,2000,0.2,0.6,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS060__RR050__QC05,2000,0.2,0.6,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM020__BS060__RR075__QC02,2000,0.2,0.6,0.75,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS060__RR075__QC05,2000,0.2,0.6,0.75,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS060__RR100__QC02,2000,0.2,0.6,1.0,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS060__RR100__QC05,2000,0.2,0.6,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS060__RR150__QC02,2000,0.2,0.6,1.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS060__RR150__QC05,2000,0.2,0.6,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM020__BS075__RR050__QC02,2000,0.2,0.75,0.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS075__RR050__QC05,2000,0.2,0.75,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H02000__LM020__BS075__RR075__QC02,2000,0.2,0.75,0.75,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS075__RR075__QC05,2000,0.2,0.75,0.75,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS075__RR100__QC02,2000,0.2,0.75,1.0,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H02000__LM020__BS075__RR100__QC05,2000,0.2,0.75,1.0,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM020__BS075__RR150__QC02,2000,0.2,0.75,1.5,2,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
H02000__LM020__BS075__RR150__QC05,2000,0.2,0.75,1.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM025__BS015__RR050__QC02,2000,0.25,0.15,0.5,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS015__RR050__QC05,2000,0.25,0.15,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM025__BS015__RR075__QC02,2000,0.25,0.15,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS015__RR075__QC05,2000,0.25,0.15,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS015__RR100__QC02,2000,0.25,0.15,1.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS015__RR100__QC05,2000,0.25,0.15,1.0,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS015__RR150__QC02,2000,0.25,0.15,1.5,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM025__BS015__RR150__QC05,2000,0.25,0.15,1.5,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS030__RR050__QC02,2000,0.25,0.3,0.5,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS030__RR050__QC05,2000,0.25,0.3,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM025__BS030__RR075__QC02,2000,0.25,0.3,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS030__RR075__QC05,2000,0.25,0.3,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS030__RR100__QC02,2000,0.25,0.3,1.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS030__RR100__QC05,2000,0.25,0.3,1.0,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS030__RR150__QC02,2000,0.25,0.3,1.5,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM025__BS030__RR150__QC05,2000,0.25,0.3,1.5,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS045__RR050__QC02,2000,0.25,0.45,0.5,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS045__RR050__QC05,2000,0.25,0.45,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM025__BS045__RR075__QC02,2000,0.25,0.45,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS045__RR075__QC05,2000,0.25,0.45,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS045__RR100__QC02,2000,0.25,0.45,1.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS045__RR100__QC05,2000,0.25,0.45,1.0,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS045__RR150__QC02,2000,0.25,0.45,1.5,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM025__BS045__RR150__QC05,2000,0.25,0.45,1.5,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS060__RR050__QC02,2000,0.25,0.6,0.5,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS060__RR050__QC05,2000,0.25,0.6,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM025__BS060__RR075__QC02,2000,0.25,0.6,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS060__RR075__QC05,2000,0.25,0.6,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS060__RR100__QC02,2000,0.25,0.6,1.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS060__RR100__QC05,2000,0.25,0.6,1.0,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS060__RR150__QC02,2000,0.25,0.6,1.5,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM025__BS060__RR150__QC05,2000,0.25,0.6,1.5,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS075__RR050__QC02,2000,0.25,0.75,0.5,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS075__RR050__QC05,2000,0.25,0.75,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H02000__LM025__BS075__RR075__QC02,2000,0.25,0.75,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS075__RR075__QC05,2000,0.25,0.75,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS075__RR100__QC02,2000,0.25,0.75,1.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS075__RR100__QC05,2000,0.25,0.75,1.0,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H02000__LM025__BS075__RR150__QC02,2000,0.25,0.75,1.5,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H02000__LM025__BS075__RR150__QC05,2000,0.25,0.75,1.5,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H05000__LM005__BS015__RR050__QC02,5000,0.05,0.15,0.5,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H05000__LM005__BS015__RR050__QC05,5000,0.05,0.15,0.5,5,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H05000__LM005__BS015__RR075__QC02,5000,0.05,0.15,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H05000__LM005__BS015__RR075__QC05,5000,0.05,0.15,0.75,5,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H05000__LM005__BS015__RR100__QC02,5000,0.05,0.15,1.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
