policy_id,horizon_ms,minimum_absolute_source_move_bps,minimum_directional_innovation_bps,maximum_signed_xau_response_ratio,minimum_source_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H05000__BM001__IN003__RR025__QC02,5000,0.1,0.3,0.25,2,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN003__RR025__QC05,5000,0.1,0.3,0.25,5,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM001__IN003__RR050__QC02,5000,0.1,0.3,0.5,2,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN003__RR050__QC05,5000,0.1,0.3,0.5,5,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM001__IN003__RR075__QC02,5000,0.1,0.3,0.75,2,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN003__RR075__QC05,5000,0.1,0.3,0.75,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN004__RR000__QC02,5000,0.1,0.4,0.0,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM001__IN004__RR000__QC05,5000,0.1,0.4,0.0,5,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM001__IN004__RR025__QC02,5000,0.1,0.4,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM001__IN004__RR025__QC05,5000,0.1,0.4,0.25,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN004__RR050__QC02,5000,0.1,0.4,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM001__IN004__RR050__QC05,5000,0.1,0.4,0.5,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN004__RR075__QC02,5000,0.1,0.4,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM001__IN004__RR075__QC05,5000,0.1,0.4,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM001__IN005__RR000__QC02,5000,0.1,0.5,0.0,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM001__IN005__RR000__QC05,5000,0.1,0.5,0.0,5,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM001__IN005__RR025__QC02,5000,0.1,0.5,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM001__IN005__RR025__QC05,5000,0.1,0.5,0.25,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN005__RR050__QC02,5000,0.1,0.5,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM001__IN005__RR050__QC05,5000,0.1,0.5,0.5,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM001__IN005__RR075__QC02,5000,0.1,0.5,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM001__IN005__RR075__QC05,5000,0.1,0.5,0.75,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN001__RR000__QC02,5000,0.2,0.1,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM002__IN001__RR000__QC05,5000,0.2,0.1,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM002__IN001__RR025__QC02,5000,0.2,0.1,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN001__RR025__QC05,5000,0.2,0.1,0.25,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN001__RR050__QC02,5000,0.2,0.1,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN001__RR050__QC05,5000,0.2,0.1,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN001__RR075__QC02,5000,0.2,0.1,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN001__RR075__QC05,5000,0.2,0.1,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN002__RR000__QC02,5000,0.2,0.2,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM002__IN002__RR000__QC05,5000,0.2,0.2,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM002__IN002__RR025__QC02,5000,0.2,0.2,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN002__RR025__QC05,5000,0.2,0.2,0.25,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN002__RR050__QC02,5000,0.2,0.2,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN002__RR050__QC05,5000,0.2,0.2,0.5,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN002__RR075__QC02,5000,0.2,0.2,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN002__RR075__QC05,5000,0.2,0.2,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN003__RR000__QC02,5000,0.2,0.3,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM002__IN003__RR000__QC05,5000,0.2,0.3,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM002__IN003__RR025__QC02,5000,0.2,0.3,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN003__RR025__QC05,5000,0.2,0.3,0.25,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN003__RR050__QC02,5000,0.2,0.3,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN003__RR050__QC05,5000,0.2,0.3,0.5,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN003__RR075__QC02,5000,0.2,0.3,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN003__RR075__QC05,5000,0.2,0.3,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN004__RR000__QC02,5000,0.2,0.4,0.0,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM002__IN004__RR000__QC05,5000,0.2,0.4,0.0,5,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM002__IN004__RR025__QC02,5000,0.2,0.4,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN004__RR025__QC05,5000,0.2,0.4,0.25,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN004__RR050__QC02,5000,0.2,0.4,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN004__RR050__QC05,5000,0.2,0.4,0.5,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN004__RR075__QC02,5000,0.2,0.4,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN004__RR075__QC05,5000,0.2,0.4,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN005__RR000__QC02,5000,0.2,0.5,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM002__IN005__RR000__QC05,5000,0.2,0.5,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM002__IN005__RR025__QC02,5000,0.2,0.5,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN005__RR025__QC05,5000,0.2,0.5,0.25,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN005__RR050__QC02,5000,0.2,0.5,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN005__RR050__QC05,5000,0.2,0.5,0.5,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM002__IN005__RR075__QC02,5000,0.2,0.5,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM002__IN005__RR075__QC05,5000,0.2,0.5,0.75,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H05000__BM003__IN001__RR000__QC02,5000,0.3,0.1,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM003__IN001__RR000__QC05,5000,0.3,0.1,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM003__IN001__RR025__QC02,5000,0.3,0.1,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN001__RR025__QC05,5000,0.3,0.1,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN001__RR050__QC02,5000,0.3,0.1,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN001__RR050__QC05,5000,0.3,0.1,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN001__RR075__QC02,5000,0.3,0.1,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN001__RR075__QC05,5000,0.3,0.1,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM003__IN002__RR000__QC02,5000,0.3,0.2,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM003__IN002__RR000__QC05,5000,0.3,0.2,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM003__IN002__RR025__QC02,5000,0.3,0.2,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN002__RR025__QC05,5000,0.3,0.2,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN002__RR050__QC02,5000,0.3,0.2,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN002__RR050__QC05,5000,0.3,0.2,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN002__RR075__QC02,5000,0.3,0.2,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN002__RR075__QC05,5000,0.3,0.2,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM003__IN003__RR000__QC02,5000,0.3,0.3,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM003__IN003__RR000__QC05,5000,0.3,0.3,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM003__IN003__RR025__QC02,5000,0.3,0.3,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN003__RR025__QC05,5000,0.3,0.3,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN003__RR050__QC02,5000,0.3,0.3,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN003__RR050__QC05,5000,0.3,0.3,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN003__RR075__QC02,5000,0.3,0.3,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN003__RR075__QC05,5000,0.3,0.3,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM003__IN004__RR000__QC02,5000,0.3,0.4,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM003__IN004__RR000__QC05,5000,0.3,0.4,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM003__IN004__RR025__QC02,5000,0.3,0.4,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN004__RR025__QC05,5000,0.3,0.4,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN004__RR050__QC02,5000,0.3,0.4,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN004__RR050__QC05,5000,0.3,0.4,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN004__RR075__QC02,5000,0.3,0.4,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN004__RR075__QC05,5000,0.3,0.4,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM003__IN005__RR000__QC02,5000,0.3,0.5,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM003__IN005__RR000__QC05,5000,0.3,0.5,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM003__IN005__RR025__QC02,5000,0.3,0.5,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN005__RR025__QC05,5000,0.3,0.5,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN005__RR050__QC02,5000,0.3,0.5,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN005__RR050__QC05,5000,0.3,0.5,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN005__RR075__QC02,5000,0.3,0.5,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM003__IN005__RR075__QC05,5000,0.3,0.5,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN001__RR000__QC02,5000,0.4,0.1,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM004__IN001__RR000__QC05,5000,0.4,0.1,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM004__IN001__RR025__QC02,5000,0.4,0.1,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN001__RR025__QC05,5000,0.4,0.1,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN001__RR050__QC02,5000,0.4,0.1,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN001__RR050__QC05,5000,0.4,0.1,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN001__RR075__QC02,5000,0.4,0.1,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN001__RR075__QC05,5000,0.4,0.1,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM004__IN002__RR000__QC02,5000,0.4,0.2,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM004__IN002__RR000__QC05,5000,0.4,0.2,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM004__IN002__RR025__QC02,5000,0.4,0.2,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN002__RR025__QC05,5000,0.4,0.2,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN002__RR050__QC02,5000,0.4,0.2,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN002__RR050__QC05,5000,0.4,0.2,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN002__RR075__QC02,5000,0.4,0.2,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN002__RR075__QC05,5000,0.4,0.2,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM004__IN003__RR000__QC02,5000,0.4,0.3,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM004__IN003__RR000__QC05,5000,0.4,0.3,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM004__IN003__RR025__QC02,5000,0.4,0.3,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN003__RR025__QC05,5000,0.4,0.3,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN003__RR050__QC02,5000,0.4,0.3,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN003__RR050__QC05,5000,0.4,0.3,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN003__RR075__QC02,5000,0.4,0.3,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN003__RR075__QC05,5000,0.4,0.3,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM004__IN004__RR000__QC02,5000,0.4,0.4,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM004__IN004__RR000__QC05,5000,0.4,0.4,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM004__IN004__RR025__QC02,5000,0.4,0.4,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN004__RR025__QC05,5000,0.4,0.4,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN004__RR050__QC02,5000,0.4,0.4,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN004__RR050__QC05,5000,0.4,0.4,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN004__RR075__QC02,5000,0.4,0.4,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN004__RR075__QC05,5000,0.4,0.4,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM004__IN005__RR000__QC02,5000,0.4,0.5,0.0,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H05000__BM004__IN005__RR000__QC05,5000,0.4,0.5,0.0,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H05000__BM004__IN005__RR025__QC02,5000,0.4,0.5,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN005__RR025__QC05,5000,0.4,0.5,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN005__RR050__QC02,5000,0.4,0.5,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN005__RR050__QC05,5000,0.4,0.5,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN005__RR075__QC02,5000,0.4,0.5,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM004__IN005__RR075__QC05,5000,0.4,0.5,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN001__RR000__QC02,5000,0.5,0.1,0.0,2,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM005__IN001__RR000__QC05,5000,0.5,0.1,0.0,5,9,9,1.0,9,1.0,9,0,0.0,False
H05000__BM005__IN001__RR025__QC02,5000,0.5,0.1,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN001__RR025__QC05,5000,0.5,0.1,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN001__RR050__QC02,5000,0.5,0.1,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN001__RR050__QC05,5000,0.5,0.1,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN001__RR075__QC02,5000,0.5,0.1,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN001__RR075__QC05,5000,0.5,0.1,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM005__IN002__RR000__QC02,5000,0.5,0.2,0.0,2,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM005__IN002__RR000__QC05,5000,0.5,0.2,0.0,5,9,9,1.0,9,1.0,9,0,0.0,False
H05000__BM005__IN002__RR025__QC02,5000,0.5,0.2,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN002__RR025__QC05,5000,0.5,0.2,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN002__RR050__QC02,5000,0.5,0.2,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN002__RR050__QC05,5000,0.5,0.2,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN002__RR075__QC02,5000,0.5,0.2,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN002__RR075__QC05,5000,0.5,0.2,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM005__IN003__RR000__QC02,5000,0.5,0.3,0.0,2,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM005__IN003__RR000__QC05,5000,0.5,0.3,0.0,5,9,9,1.0,9,1.0,9,0,0.0,False
H05000__BM005__IN003__RR025__QC02,5000,0.5,0.3,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN003__RR025__QC05,5000,0.5,0.3,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN003__RR050__QC02,5000,0.5,0.3,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN003__RR050__QC05,5000,0.5,0.3,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN003__RR075__QC02,5000,0.5,0.3,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN003__RR075__QC05,5000,0.5,0.3,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM005__IN004__RR000__QC02,5000,0.5,0.4,0.0,2,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM005__IN004__RR000__QC05,5000,0.5,0.4,0.0,5,9,9,1.0,9,1.0,9,0,0.0,False
H05000__BM005__IN004__RR025__QC02,5000,0.5,0.4,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN004__RR025__QC05,5000,0.5,0.4,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN004__RR050__QC02,5000,0.5,0.4,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN004__RR050__QC05,5000,0.5,0.4,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN004__RR075__QC02,5000,0.5,0.4,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN004__RR075__QC05,5000,0.5,0.4,0.75,5,9,9,1.0,9,1.0,3,6,0.3333333333333333,True
H05000__BM005__IN005__RR000__QC02,5000,0.5,0.5,0.0,2,9,9,1.0,9,1.0,8,1,0.1111111111111111,False
H05000__BM005__IN005__RR000__QC05,5000,0.5,0.5,0.0,5,9,9,1.0,9,1.0,9,0,0.0,False
H05000__BM005__IN005__RR025__QC02,5000,0.5,0.5,0.25,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN005__RR025__QC05,5000,0.5,0.5,0.25,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN005__RR050__QC02,5000,0.5,0.5,0.5,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN005__RR050__QC05,5000,0.5,0.5,0.5,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN005__RR075__QC02,5000,0.5,0.5,0.75,2,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H05000__BM005__IN005__RR075__QC05,5000,0.5,0.5,0.75,5,9,9,1.0,9,1.0,4,5,0.4444444444444444,True
H10000__BM001__IN001__RR000__QC02,10000,0.1,0.1,0.0,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN001__RR000__QC05,10000,0.1,0.1,0.0,5,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H10000__BM001__IN001__RR025__QC02,10000,0.1,0.1,0.25,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN001__RR025__QC05,10000,0.1,0.1,0.25,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN001__RR050__QC02,10000,0.1,0.1,0.5,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN001__RR050__QC05,10000,0.1,0.1,0.5,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN001__RR075__QC02,10000,0.1,0.1,0.75,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H10000__BM001__IN001__RR075__QC05,10000,0.1,0.1,0.75,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H10000__BM001__IN002__RR000__QC02,10000,0.1,0.2,0.0,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN002__RR000__QC05,10000,0.1,0.2,0.0,5,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H10000__BM001__IN002__RR025__QC02,10000,0.1,0.2,0.25,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN002__RR025__QC05,10000,0.1,0.2,0.25,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN002__RR050__QC02,10000,0.1,0.2,0.5,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN002__RR050__QC05,10000,0.1,0.2,0.5,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN002__RR075__QC02,10000,0.1,0.2,0.75,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H10000__BM001__IN002__RR075__QC05,10000,0.1,0.2,0.75,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H10000__BM001__IN003__RR000__QC02,10000,0.1,0.3,0.0,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN003__RR000__QC05,10000,0.1,0.3,0.0,5,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H10000__BM001__IN003__RR025__QC02,10000,0.1,0.3,0.25,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN003__RR025__QC05,10000,0.1,0.3,0.25,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN003__RR050__QC02,10000,0.1,0.3,0.5,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN003__RR050__QC05,10000,0.1,0.3,0.5,5,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN003__RR075__QC02,10000,0.1,0.3,0.75,2,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H10000__BM001__IN003__RR075__QC05,10000,0.1,0.3,0.75,5,9,9,1.0,9,1.0,5,4,0.4444444444444444,True
H10000__BM001__IN004__RR000__QC02,10000,0.1,0.4,0.0,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN004__RR000__QC05,10000,0.1,0.4,0.0,5,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
H10000__BM001__IN004__RR025__QC02,10000,0.1,0.4,0.25,2,9,9,1.0,9,1.0,7,2,0.2222222222222222,True
H10000__BM001__IN004__RR025__QC05,10000,0.1,0.4,0.25,5,9,9,1.0,9,1.0,6,3,0.3333333333333333,True
